11 313.22716403 162.632260084
12 355.971833944 183.213504076
13 406.91432786 210.587363005
14 522.051399946 261.992665052
15 600.73669219 302.537034988
16 643.828855038 336.411710978
17 729.954529047 370.30190587
18 823.906766891 411.565875053
19 893.001029015 456.141680002
20 977.759773016 505.454554081
21 1102.33305597 569.110805988
22 1191.77642298 605.319468975
23 1341.66046 667.297477961
24 1454.3015151 748.662678003
25 1462.95147991 745.866738081
26 1919.21858406 869.835515976
27 1795.630229 887.991318941
28 1881.064924 966.753180027
29 1950.03100896 1017.44156408
30 2214.61777902 1102.82373881
31 2297.04517388 1175.8260231
32 n/a 1226.52525401
33 n/a 1337.15602517
34 n/a 1400.93092299
35 n/a 1437.90659618
36 n/a 1619.76173711
37 n/a 1695.48889112
38 n/a 1648.68395019
39 n/a 1815.41886497
40 n/a 1921.03097105
